"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"United States",0,115.73756432247,115.595075239398,115.658362989324,115.463636363636,114.686468646865,113.598484848485,112.465564738292,111.071428571429,110.419026047565,108.23812387252,105.938448201127,102.986031383702,100.408496732026,99.0409207161125,99.9615458551445,100,101.751893939394,102.08703374778,101.928900823714,101.299725242649,100.187969924812,99,96.6509988249119,94.7839831401475,94.7274352100089,95.3436807095344,96.9934995573383,97.4346153846154,98.3084185680567,98.3759842519685,97.878706506526,97.56,97.6487861164163,98.2209737827715,106.781959986436,106.24584717608,106.268328445748,107.608695652174,109.480812641084,111.607142857143,113.268482490272,114.293981481481,114.224137931034,114.182692307692,114.583333333333,114.189441495267,113.28842620943,112.795698924731,112.035763411279,113.823805060918,115.740740740741,118.181818181818,119.930222416049,120.43795620438,120.566948130277,120.431599494424,120.3125,120.030620105979,118.629531385209,117.100694444444,118.131868131868,119.791666666667,121.350613915416,123.555840821566,126.128688233203,126.591136287904,126.015406162465,125.747126436782,125.834701696771,125.997899159664,125.65840477962,124.671916010499,124.438001784121,126.308664259928,128.819652486519,131.410256410256,132.890355549044,133.446642535669,133.384146341463,132.905369484317,133.373934226553,133.262260127932,132.504288164666,131.295081303067,130.928308823529,132.738589211618,135.3835668799,138,139.969450101833,140.625,140.336808340016,139.834014460205,140.288035450517,140.41095890411,139.84268125855,138.684106222751,138.888888888889
"New York, NY",1,231.493099121706,230.153435623749,233.759318423855,232.831555011676,235.224749891613,234.6427652824,232.100380118845,228.937728937729,230.923694779116,228.268082282681,226.27235213205,222.71144822919,219.153846153846,214.541547277937,218.914077293854,216.95652173913,217.866004962779,215.923984272608,214.04958677686,211.818181818182,210.144927536232,208.576726935559,206.083174502652,202.666262748662,203.583061889251,199.166666666667,207.683800623053,209.237849894757,211.968328804029,208.724832214765,206.410879067508,203.125,202.922077922078,202.349486049927,217.058823529412,215.595040137615,217.28,219.238977940957,222.213596491228,223.035952063915,223.333333333333,221.783496007098,221.072904368359,219.133996489175,220,220.93023255814,225.483870967742,224.283305227656,226.544363798591,229.411764705882,232.0519987714,235.045317220544,238.313008130081,242.223837209302,239.304719175903,238.076311605723,237.905897945659,238.059053158443,236.904761904762,238.461538461538,239.96,239.96,240,241.104660649635,238.461538461538,240.317846872753,242.766061794998,241.428571428571,240.336538461538,240.523096559718,240.244756599929,238.706665863585,245.607101118669,245.925647765678,241.85538005923,248.454371715241,246.598639455782,246.463022508039,245.083981149555,242.307692307692,244.615384615385,244.882465349726,246.32738315452,244.447476125512,247.611464968153,250,253.917831427361,255.6540051274,260.831122900088,261.777708714357,261.779842931937,258.235294117647,261.842105263158,264.550264550265,266.903914590747,266.286909579457,267.051588599756
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.087969773009,324.232081911263,321.412584729505,325.189559135387,327.293318233296,334.002677376171,337.907011964259,340.776024393179,342.401031894934,341.223618139736,342.222222222222,341.176470588235,337.844369260512,329.804560260586,334.257748776509,343.26252236136,347.544068919814,352.606548183936,358.896343915783,360.569422776911,362.090680100756,363.984392158476,364.402021336328,365.448504983389,364.107470507537,365.178272239706,367.097212780422,372.43082128328,377.088402270884,380.395025603511,382.520425847982,386.240728782165,387.466902030009,386.917211002577,387.445163465351,388.183209391241,388.618075801749,387.206085753804,389.79447200567,392.186999679795,399.439383321654,404.002762430939,407.264086897488,405,406.730769230769,408.486707566462,409.195775008151,410.608519153942,411.821705426357,411.373215223272,413.812726332126
"Chicago, IL",3,145.714285714286,145.348837209302,146.048226927636,145.361635220126,142.982641801168,141.782096549533,138.76582278481,137.372525494901,133.613861386139,132.481060606061,129.949832214765,125.303358611502,123.038156947444,121.797520661157,122.439848832927,122.922207488739,123.691353237689,122.92817679558,122.142989011436,120.668316831683,118.850057180942,116.496870277078,112.634088200238,109.296875,109.756097560976,111.358574610245,112.740544127405,113.388458601791,114.085535966098,113.23596074876,109.768786127168,107.972079353417,106.811731336139,106.078665077473,112.987588652482,110.912190963342,110.511054729975,112.760416666667,115.671641791045,118.743855676329,122.092842522508,124.22897833944,123.620092156242,123.380927843288,123.942577030812,122.777777777778,119.438364136271,119.114376489277,116.896360529947,121.230502599653,125.401606425703,129.083333333333,132.788868723533,135.159500693481,134.410084033613,133.829365079365,132.697407681953,131.799757053782,129.327902240326,125.343524602545,124.557939305848,128.447289991261,133.3325,135.850573317964,140.22194232481,141.689373297003,141.090555014606,140.022421524664,138.831018518519,137.98205461014,136.363636363636,133.779264214047,133.291666666667,136.685855061832,140.6319106803,144.01390958768,146.523453979327,148.896846081677,148.148148148148,146.166574738003,146.006351653243,145.557655954631,144.410783722178,142.490950793821,142.350993377483,146.551724137931,150.5,153.211549793754,154.662698412698,155.788435873558,155.225459934633,153.734498572056,153.228026469125,152.637210118126,151.414141414141,149.335418295543,149.35379644588
"Dallas, TX",4,83.8104639684107,84.132945441787,84.8214285714286,85.2771507399047,85.3889943074004,85.0913621262458,84.68731735827,84.1712944157642,83.8271615776752,83.1037506333028,82.3337410984378,80.8566433566434,79.9225465656736,79.6281950837044,79.8798798798799,80.2752293577982,81.1116994993833,81.0454065469905,80.6953789026249,80.1523656776263,79.2111218881345,78.9027834424015,77.67258382643,76.4117647058823,76.8212913670343,77.9299972655182,78.0720720720721,78.5862354892206,79.7912721875786,80.8407437348424,79.9911190053286,79.2233246692357,78.7202260799354,79.7182349813929,85.3393430576925,85.7281553398058,85.7221914775872,87.0118845500849,89.5282369146006,90.7871972318339,91.7934782608696,92.3356458539808,92.5244351830553,92.6538716082065,92.5925925925926,92.9805934885712,92.7433050293926,93.4119960668633,93.4056642343001,94.5773888267019,96.2910128388017,97.7093649008301,99.1003588033908,97.6381158788376,98.0392156862745,100.250705132738,100.312354662117,100.822143052891,100.498954673115,102.682378245895,104.2608453147,105.932989112134,108.990162675855,109.791691394659,109.080188679245,109.38232994527,109.472376054746,109.838160136286,110.403261029892,111.500862564692,111.991385080028,113.378684807256,114.063777596075,114.334347548863,116.98050282196,118.373406193078,119.65155508602,120.323609590064,120.67672715056,121.1723267023,121.761921943311,123.835805450155,123.393402565669,123.851383269322,125.216369888666,126.405876323881,128.521328212445,129.87012987013,130.577427821522,131.109125647182,130.742049469965,130.69185367752,131.458269642311,131.524277811924,131.626325054166,132.30053303516,133.314516129032
"Philadelphia, PA",5,141.304347826087,142.105263157895,143.626495300046,143.21468298109,142.407888788427,141.25,140.07702435813,138.650693568726,138.11458756603,135.984829078075,134.443021766965,132.099843872694,130.928571428571,131.238273921201,131.15889212828,131.068534482759,132.5,130.756302521008,128.571428571429,127.551020408163,125.367292610979,124.091250940085,122.21446035627,118.752127297481,120.267379679144,122.602230483271,124.242424242424,124.623376623377,124.958333333333,124.528301886792,123.4375,121.796657381616,120.745920745921,121.138808572158,124.342599549211,123.311688311688,122.622699386503,124.340364800891,126.722675026123,128.160112359551,130.555754750807,131.281241778479,129.396617272863,127.466545828858,127.589061335772,127.188465499485,126.262626262626,126.190476190476,124.097882212078,124.570200573066,128.348214285714,131.207335473622,132.442072395377,132.325141776938,130.496083550914,129.521126760563,129.62962962963,128.700858369099,126.721044436459,123.92368061513,123.287123287671,125.762195121951,128.882761393255,131.955001520219,133.378932968536,133.161512027491,131.253815628816,129.839861501839,129.228955811013,128.824369930213,127.908836465414,125.190401669275,124.06576980568,125,127.92,131.110914245216,132.201561918929,132.262996941896,130.896592946802,129.360522172996,129.234215503162,128.890005277473,127.435064935065,124.021909233177,124.080882352941,125.764629809247,130.080279411563,133.839285714286,135.78991015895,135.793429928525,135.29842548517,133.437553837849,134.107327141383,135.113446098604,134.059807399899,131.28078817734,129.759615384615
"Houston, TX",6,80.6711782733037,81.407135468971,81.6393877181166,81.6559058108621,81.4476805107091,81.2611808453804,80.1855973135471,79.8333911836168,80.4908747640025,79.864472410455,79.8694657289989,79.0817409766454,78.6136670350728,78.4737538597265,78.6396852164137,78.3563362609787,78.7562170950611,78.6817102137767,78.1018259494387,77.6942809232357,76.3459841129744,76.7805320435308,75.7809432675959,76.0374506123701,76.3665594855305,76.6448085081986,77.5547492274735,78.538082540236,78.8288288288288,79.0329868956168,78.5496957403651,78.7138130686518,78.9712560437707,79.2185730464326,81.1129136924075,82.1635012386458,82.6653306613226,85.0387310955367,86.2775246925773,87.100853619981,88.1345345170961,89.1990090834021,89.6017446267595,89.8252604674016,90.8116874129165,92.4529884551869,91.6864510847319,92.4348799509461,92.911460770136,94.7717993262004,96.1538461538462,98.4962406015038,99.0255773220369,99.537037037037,99.9260171501551,101.125105677161,102.615091770875,103.28345333324,104.208686747256,106.62177328844,108.54309412189,109.963823529412,110.877779110544,112.667465275365,111.277094317516,109.988669410253,112.083105522143,112.846359201008,113.06522717049,113.933823529412,113.895351475684,115.393447292113,115.412888156087,113.212079615649,114.308943089431,114.301866158301,114.723751594279,114.709110867179,114.371629901961,114.207980652963,113.962508080155,114.460871798842,113.563545745817,113.493524199046,114.341683923281,115.291750503018,116.051795748839,116.518888230187,116.682275132275,116.71974522293,116.19739292365,116.206315789474,116.90911791991,116.915921401681,117.266844857001,118.083369931196,118.439386901997
"Washington, DC",7,182.302640464614,182.369544671347,186.637391579533,192.407194357272,191.285866099894,187.991094068102,187.421875,182.537268370346,178.878939658138,178.163098132511,175.831202046036,170.359848484848,165.749003792327,164.769605394605,168.290630899706,170.293074099533,174.52380952381,175.267673620809,172.839506172839,171.303419055716,170.947488584475,168.290598290598,161.842589911283,157.615384615385,156.063583815029,158.490870851957,163.434508522064,168.454935622318,173.448014680161,175,172.117039586919,168.670444748719,168.918918918919,170.165731794954,179.146746512751,174.358159540934,174.383036253075,177.996566126289,185.294117647059,192.956349206349,197.038873465291,199.16142557652,196.886737089202,195.818924866394,199.583333333333,198.368030722927,195.3125,190.71390946395,187.4975,192.066693493731,196.875,201.12676056338,206.269841269841,206.309545413302,204.284659210804,201.632862504608,201.863354037267,201.536985087849,198.019306930693,192.307692307692,189.405286343612,192.622950819672,197.859046849758,202.605014929425,206.276445698166,205.71608040201,198.360324825986,202.057019126669,202.909647779479,202.826497073586,200.369913686806,197.916666666667,196.428075396825,201.063829787234,206.810344827586,214.028169014085,215.669515669516,216.049382716049,214.856230031949,211.148648648649,213.235294117647,213.822951224077,212.590361445783,209.36974789916,207.425444032889,211.818973795475,216.296972026622,220.924004017409,222.839506172839,223.584194178941,221.89349112426,219.194312796209,222.538962277235,222.5719063949,220.403190075321,215.930249259972,214.138014527845
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.142857142857,136.171191900598,138.818351108854,141.299403714135,143.652694610778,144.869227412839,146.245059288538,146.94663576083,145.940182180023,147.280966767372,150,154.285714285714,155.494968377363,156.485015549901,157.669056944032,157.007376185458,158.59872611465,157.851610987912,159.474671669794,158.843844327715,159.042436298191,160.730847504904,161.783077796706,164.473168820995,165.913529829545,165.624646693047,169.307497368238,169.602888086643,168.553638496148,167.496898263027,168.034765813617,171.662444403321,173.667205169628,174.927113702624,176.358771536169,182.425488180884,183.359420289855,186.490927419355,189.457601222307,189.296541446457,192.679002413516,193.798449612403,195.571955719557,196.880835927079,197.368421052632,200.133868808568,202.312138728324,203.736392734233,204.916782086796,204.875,206.611038066617,207.236842105263,208.694478354775,210.059985721135,211.183819155265,211.334039548023,211.019499930302,213.36327905671,212.871287128713,215.763742380482,217.391304347826,218.011446688848
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9090909090909,90.7911802853437,89.7277701778386,87.2972856712694,85.6271580345285,88.5275519421861,91.173421648642,94.3393980233603,95.6521739130435,96.2249905624764,95.7330415754923,95.272588638963,95.2356751867233,94.5175234278979,91.6946853802605,90.2996845425867,91.5650514437438,93.9099283520983,94.4222477905198,94.7867298578199,96.875,97.9014862688332,96.2320675303048,96.5302491103203,96.1149520213937,96.3509635096351,95.7515682067849,95.1587301587302,95.3259532595326,97.7815699658703,100.32304379038,102.550754293051,104.570325072417,104.865462587541,105.33587028458,105.394360441357,104.878048780488,105.724177958977,105.407843388139,104.206568972148,103.919433859554,105.966422714434,109.976748920775,112.42774566474,113.498175922173,114.735980352026,114.970760233918,114.773413897281,115.108401084011,115.806001395673,114.983276378093,115.282583621684,115.823170731707
